Target device: xilinx_u55c_gen3x16_xdma_base_3-0
timestamp,12v_aux_curr,12v_aux_vol,12v_pex_curr,12v_pex_vol,vccint_curr,vccint_vol,3v3_pex_curr,3v3_pex_vol,cage_temp0,cage_temp1,cage_temp2,cage_temp3,dimm_temp0,dimm_temp1,dimm_temp2,dimm_temp3,fan_temp,fpga_temp,hbm_temp,se98_temp0,se98_temp1,se98_temp2,vccint_temp,fan_rpm
233.09,560,12216,1256,12192,8101,853,1040,3312,35,36,0,0,0,0,0,0,0,48,43,38,31,0,45,0,
270.429,560,12216,1256,12192,8101,853,1040,3312,35,36,0,0,0,0,0,0,0,48,43,38,31,0,45,0,
299.469,560,12216,1256,12192,8101,853,1040,3312,35,36,0,0,0,0,0,0,0,48,43,38,31,0,45,0,
328.924,560,12216,1256,12192,8101,853,1040,3312,35,36,0,0,0,0,0,0,0,48,43,38,31,0,45,0,
357.742,560,12216,1256,12192,8101,853,1040,3312,35,36,0,0,0,0,0,0,0,48,43,38,31,0,45,0,
386.699,560,12216,1256,12192,8101,853,1040,3312,35,36,0,0,0,0,0,0,0,48,43,38,31,0,45,0,
416.172,560,12216,1256,12192,8101,853,1040,3312,35,36,0,0,0,0,0,0,0,48,43,38,31,0,45,0,
445.058,560,12216,1256,12192,8101,853,1040,3312,35,36,0,0,0,0,0,0,0,48,43,38,31,0,45,0,
474.429,560,12216,1256,12192,8101,853,1040,3312,35,36,0,0,0,0,0,0,0,48,43,38,31,0,45,0,
503.646,560,12216,1256,12192,8101,853,1040,3312,35,36,0,0,0,0,0,0,0,48,43,38,31,0,45,0,
532.984,560,12216,1256,12192,8101,853,1040,3312,35,36,0,0,0,0,0,0,0,48,43,38,31,0,45,0,
562.496,560,12216,1256,12192,8101,853,1040,3312,35,36,0,0,0,0,0,0,0,48,43,38,31,0,45,0,
593.216,560,12216,1256,12192,8101,853,1040,3312,35,36,0,0,0,0,0,0,0,48,43,38,31,0,45,0,
622.649,560,12216,1256,12192,8101,853,1040,3312,35,36,0,0,0,0,0,0,0,48,43,38,31,0,45,0,
651.445,560,12216,1256,12192,8101,853,1040,3312,35,36,0,0,0,0,0,0,0,48,43,38,31,0,45,0,
680.254,560,12216,1256,12192,8101,853,1040,3312,35,36,0,0,0,0,0,0,0,48,43,38,31,0,45,0,
709.072,560,12216,1256,12192,8101,853,1040,3312,35,36,0,0,0,0,0,0,0,48,43,38,31,0,45,0,
738.273,560,12216,1256,12192,8101,853,1040,3312,35,36,0,0,0,0,0,0,0,48,43,38,31,0,45,0,
767.08,560,12216,1256,12192,8101,853,1040,3312,35,36,0,0,0,0,0,0,0,48,43,38,31,0,45,0,
795.879,560,12216,1256,12192,8101,853,1040,3312,35,36,0,0,0,0,0,0,0,48,43,38,31,0,45,0,
824.673,560,12216,1256,12192,8101,853,1040,3312,35,36,0,0,0,0,0,0,0,48,43,38,31,0,45,0,
854.08,560,12216,1256,12192,8101,853,1040,3312,35,36,0,0,0,0,0,0,0,48,43,38,31,0,45,0,
882.895,560,12216,1256,12192,8101,853,1040,3312,35,36,0,0,0,0,0,0,0,48,43,38,31,0,45,0,
916.189,560,12216,1256,12192,8101,853,1040,3312,35,36,0,0,0,0,0,0,0,48,43,38,31,0,45,0,
945.496,560,12216,1256,12192,8101,853,1040,3312,35,36,0,0,0,0,0,0,0,48,43,38,31,0,45,0,
974.413,560,12216,1256,12192,8101,853,1040,3312,35,36,0,0,0,0,0,0,0,48,43,38,31,0,45,0,
1003.21,560,12216,1256,12192,8101,853,1040,3312,35,36,0,0,0,0,0,0,0,48,43,38,31,0,45,0,
1032.01,560,12216,1256,12192,8101,853,1040,3312,35,36,0,0,0,0,0,0,0,48,43,38,31,0,45,0,
1060.82,560,12216,1256,12192,8101,853,1040,3312,35,36,0,0,0,0,0,0,0,48,43,38,31,0,45,0,
1092.44,560,12216,1256,12192,8101,853,1040,3312,35,36,0,0,0,0,0,0,0,48,43,38,31,0,45,0,
1121.24,560,12216,1256,12192,8101,853,1040,3312,35,36,0,0,0,0,0,0,0,48,43,38,31,0,45,0,
1150.07,560,12216,1256,12192,8101,853,1040,3312,35,36,0,0,0,0,0,0,0,48,43,38,31,0,45,0,
1178.94,560,12216,1256,12192,8101,853,1040,3312,35,36,0,0,0,0,0,0,0,44,39,38,31,0,45,0,
6346.35,425,12224,1033,12200,6600,853,1104,3312,35,36,0,0,0,0,0,0,0,44,39,38,31,0,45,0,
6375.73,425,12224,1033,12200,6600,853,1104,3312,35,36,0,0,0,0,0,0,0,44,39,38,31,0,45,0,
6404.53,425,12224,1033,12200,6600,853,1104,3312,35,36,0,0,0,0,0,0,0,44,39,38,31,0,45,0,
6433.34,425,12224,1033,12200,6600,853,1104,3312,35,36,0,0,0,0,0,0,0,44,39,38,31,0,45,0,
6462.3,425,12224,1033,12200,6600,853,1104,3312,35,36,0,0,0,0,0,0,0,44,39,38,31,0,45,0,
6491.12,425,12224,1033,12200,6600,853,1104,3312,35,36,0,0,0,0,0,0,0,44,39,38,31,0,45,0,
6520.62,425,12224,1033,12200,6600,853,1104,3312,35,36,0,0,0,0,0,0,0,44,39,38,31,0,45,0,
6549.49,425,12224,1033,12200,6600,853,1104,3312,35,36,0,0,0,0,0,0,0,44,39,38,31,0,45,0,
6578.99,425,12224,1033,12200,6600,853,1104,3312,35,36,0,0,0,0,0,0,0,44,39,38,31,0,45,0,
6607.8,425,12224,1033,12200,6600,853,1104,3312,35,36,0,0,0,0,0,0,0,44,39,38,31,0,45,0,
6636.68,425,12224,1033,12200,6600,853,1104,3312,35,36,0,0,0,0,0,0,0,44,39,38,31,0,45,0,
6665.51,425,12224,1033,12200,6600,853,1104,3312,35,36,0,0,0,0,0,0,0,44,39,38,31,0,45,0,
6699.4,425,12224,1033,12200,6600,853,1104,3312,35,36,0,0,0,0,0,0,0,44,39,38,31,0,45,0,
6732.83,425,12224,1033,12200,6600,853,1104,3312,35,36,0,0,0,0,0,0,0,44,39,38,31,0,45,0,
6762.44,425,12224,1033,12200,6600,853,1104,3312,35,36,0,0,0,0,0,0,0,44,39,38,31,0,45,0,
6792.11,425,12224,1033,12200,6600,853,1104,3312,35,36,0,0,0,0,0,0,0,44,39,38,31,0,45,0,
6821.65,425,12224,1033,12200,6600,853,1104,3312,35,36,0,0,0,0,0,0,0,44,39,38,31,0,45,0,
6851.23,425,12224,1033,12200,6600,853,1104,3312,35,36,0,0,0,0,0,0,0,44,39,38,31,0,45,0,
6881.18,425,12224,1033,12200,6600,853,1104,3312,35,36,0,0,0,0,0,0,0,44,39,38,31,0,45,0,
6912.39,425,12224,1033,12200,6600,853,1104,3312,35,36,0,0,0,0,0,0,0,44,39,38,31,0,45,0,
6942.28,425,12224,1033,12200,6600,853,1104,3312,35,36,0,0,0,0,0,0,0,44,39,38,31,0,45,0,
6971.82,425,12224,1033,12200,6600,853,1104,3312,35,36,0,0,0,0,0,0,0,44,39,38,31,0,45,0,
7001.35,425,12224,1033,12200,6600,853,1104,3312,35,36,0,0,0,0,0,0,0,44,39,38,31,0,45,0,
